City,UTC,IANA,ShowTime
Costa Rica,UTC-06:00,America/Costa_Rica,"2022-03-18 15:00:00"
Dominican Republic,UTC-04:00,America/Santo_Domingo,"2022-03-22 15:00:00"
Mexico,UTC-05:00,America/Mexico_City,"2022-03-25 15:00:00"
US Los Angeles,UTC-08:00,America/Los_Angeles,"2022-04-26 15:00:00"
US Dallas,UTC-06:00,America/Chicago,"2022-05-06 15:00:00"
US Houston,UTC-06:00,America/Chicago,"2022-05-08 15:00:00"
US Phoenix,UTC-07:00,America/Phoenix,"2022-05-12 15:00:00"
US Santa Clara,UTC-08:00,America/Los_Angeles,"2022-05-15 15:00:00"
US Chicago,UTC-06:00,America/Chicago,"2022-05-28 15:00:00"
US Washington DC,UTC-05:00,America/New_York,"2022-06-01 15:00:00"
US East Rutherford,UTC-05:00,America/New_York,"2022-06-04 15:00:00"
US Philadelphia,UTC-05:00,America/New_York,"2022-06-08 15:00:00"
US Atlanta,UTC-05:00,America/New_York,"2022-06-11 15:00:00"
US Tampa,UTC-05:00,America/New_York,"2022-06-14 15:00:00"
Frankfurt Am Main,UTC+01:00,Europe/Berlin,"2022-07-02 15:00:00"
Warsaw,UTC+01:00,Europe/Warsaw,"2022-07-08 15:00:00"
Berlin,UTC+01:00,Europe/Berlin,"2022-07-10 15:00:00"
Paris,UTC+01:00,Europe/Paris,"2022-07-16 15:00:00"
Brussels,UTC+01:00,Europe/Brussels,"2022-05-08 15:00:00"
London,UTC+0,Europe/London,"2022-08-12 15:00:00"
Glasgow,UTC+0,Europe/London,"2022-08-23 15:00:00"
Rio de Janerio,UTC-03:00,America/Sao_Paulo,"2022-09-10 15:00:00"
Bogota,UTC-05:00,America/Bogota,"2022-09-17 15:00:00"
Lima,UTC-05:00,America/Lima,"2022-09-20 15:00:00"
Santiago,UTC-03:00,America/Santiago,"2022-09-23 15:00:00"
Buenos Aires,UTC-03:00,America/Argentina/Buenos_Aires,"2022-10-25 15:00:00"
